Site,Lat,Lon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Total
WBY,41.549748,-73.06588,3,0,0,0,0,5,1433,1850,1925,1728,1475,1172,869,654,685,677,612,15,0,0,0,0,0,1,13104
YFC,42.897228,-71.324072,12,2,1,0,0,0,1061,1084,1369,1427,1186,1150,905,870,904,856,742,653,461,340,43,0,0,0,13066
SFS,41.19982,-73.131565,1,0,0,0,0,7,1222,1757,1838,1882,1576,1184,741,731,718,725,549,24,0,1,0,0,0,0,12956
BPO,41.205306,-73.205584,5,0,0,0,0,14,1359,1479,1552,1695,1434,1153,869,607,636,676,646,422,5,0,0,0,0,0,12552
HBA,41.296774,-73.229944,2,0,0,0,0,11,722,1321,1449,1436,1248,990,655,504,474,553,426,265,8,0,0,0,0,0,10064
HAE,41.383586,-72.900031,21,2,0,4,0,1,160,1200,1532,1411,1220,1024,574,517,546,624,537,32,1,0,0,0,0,0,9406
MFO,41.217515,-73.065228,8,0,0,0,0,0,529,1403,1444,1394,1169,843,639,443,529,494,402,18,0,0,0,0,0,0,9315
SXH,41.287371,-73.114373,5,0,0,0,0,11,892,1243,1348,1355,1051,844,606,439,427,425,385,11,0,0,0,0,0,0,9042
GMA,42.261272,-71.802281,5867,7,8,38,337,649,478,105,147,118,208,183,117,127,137,65,34,8,5,2,7,9,5,1,8662
DRE,41.336415,-73.089909,4,0,0,0,0,0,39,1379,1473,1323,1095,809,492,463,416,456,359,11,0,0,0,0,0,0,8319
POS,41.142317,-73.255478,1,0,0,0,0,0,414,1128,1273,1253,1081,793,584,476,520,424,207,5,0,0,0,0,0,0,8159
FAF,41.181887,-73.252153,5,0,0,0,0,5,795,1095,1240,1276,954,654,514,394,295,235,180,21,0,0,0,0,0,0,7663
QPW,41.86695,-71.377378,1,0,0,0,0,0,351,1178,1266,1303,932,610,433,352,398,383,288,8,0,0,0,0,0,0,7503
